0.485,0,0.25,0,0,0,0,0,0,0,0,0,0
0.4832,0.0006,0.2487,-0.0438,0.0147,-0.006,-0.024,0.0418,0.0439,-0.0471,0.0146,-0.0177,0
0.4858,-0.0008,0.2514,-0.1438,0.0291,-0.012,-0.0479,0.1418,-0.0407,0.04,-0.0272,0.0265,0
0.4843,-0.0004,0.2502,-0.1953,0.0429,-0.018,-0.0712,0.1911,-0.0079,-0.0031,-0.0195,0.0085,0
0.4819,0.0001,0.2481,-0.2114,0.0565,-0.024,-0.0942,0.2058,0.046,-0.0777,-0.0051,-0.0267,0
0.4792,0.0007,0.2458,-0.2188,0.0702,-0.03,-0.1172,0.2122,0.1039,-0.1596,0.0104,-0.0661,0
0.4775,0.0131,0.2515,-0.2184,0.1702,-0.13,-0.0172,0.2152,0.4039,0.0849,0.3104,0.2339,0
0.4741,0.0167,0.2499,-0.2017,0.2702,-0.23,0.0828,0.1982,0.5486,0.0438,0.3998,0.2481,0
0.4711,0.0187,0.2479,-0.1957,0.3702,-0.33,0.1482,0.1915,0.6475,-0.0176,0.4506,0.2348,0
0.4683,0.0201,0.2458,-0.1912,0.4419,-0.43,0.1822,0.1859,0.7301,-0.0859,0.4879,0.2118,0
0.4657,0.0212,0.2437,-0.1866,0.4981,-0.522,0.2001,0.1802,0.8028,-0.1573,0.5174,0.1837,0
0.4631,0.0221,0.2416,-0.1813,0.5455,-0.5954,0.2086,0.1738,0.8695,-0.2291,0.5425,0.1534,0
0.4607,0.023,0.2395,-0.1752,0.5876,-0.6573,0.2111,0.1664,0.9319,-0.2994,0.5652,0.1229,0
0.4583,0.0237,0.2375,-0.1678,0.6259,-0.7109,0.2091,0.1578,0.9906,-0.3669,0.5861,0.0931,0
0.4562,0.0244,0.2357,-0.1588,0.6614,-0.7581,0.2037,0.1474,1.0452,-0.4306,0.6055,0.0647,0
0.4542,0.025,0.234,-0.1474,0.6948,-0.8,0.1955,0.1343,1.0947,-0.4885,0.6231,0.0387,0
0.4525,0.0255,0.2325,-0.1321,0.7262,-0.8375,0.1849,0.1172,1.1371,-0.5378,0.6385,0.0164,0
0.4513,0.0259,0.2314,-0.1106,0.7561,-0.8711,0.172,0.0934,1.1683,-0.5734,0.6504,-0.0001,0
0.451,0.0261,0.2311,-0.0774,0.7846,-0.9011,0.1573,0.0571,1.1787,-0.5847,0.6558,-0.0062,0
0.4526,0.0256,0.2322,-0.0191,0.812,-0.9279,0.1407,-0.0062,1.1436,-0.5453,0.6456,0.0082,0
